loop,psnr,ssim
0,11.290971081687019,0.20792413575227095
1,11.290850966933606,0.20792274966271282
2,11.290451544964776,0.20792063917916606
3,11.289816801348923,0.2079154909731433
4,11.28900538090713,0.20791237431844245
5,11.288052616779833,0.2079099592173256
6,11.286993015342583,0.20790812270474698
7,11.285848034895798,0.2079064093243599
8,11.284643220890459,0.20790572245883043
9,11.283393492713053,0.20790416917308108
10,11.282102371221821,0.2079019221060671
11,11.280778370207665,0.20790093389990602
12,11.279429577557547,0.2078993886393475
13,11.278058961256379,0.20789754376902456
14,11.276669484418187,0.20789430752026206
15,11.275263320492305,0.20789057396704028
16,11.273844901493092,0.20788601005862875
17,11.27241251266458,0.2078806509394938
18,11.270970226363238,0.2078745586458778
19,11.26951815763974,0.20786779612514653
20,11.26805832167774,0.20786060031123244
21,11.266591260732024,0.2078531858560381
22,11.265115474270308,0.20784504971864168
23,11.263634041054491,0.20783593987697727
24,11.262144778085549,0.20782577121548204
25,11.260649607767236,0.20781483745487064
26,11.25914815330191,0.2078027570279732
27,11.25764121561075,0.20779012054817234
28,11.25612859657054,0.2077761942459737
29,11.254608677931392,0.2077604634151482
30,11.253084653480933,0.20774372143820727
31,11.251555587738265,0.20772502740088614
32,11.250020983388563,0.2077054701401944
33,11.248481348240544,0.20768442705715287
34,11.246936322098493,0.20766225359076254
35,11.24538651983739,0.20763869713719105
36,11.243831316533575,0.20761383426830723
37,11.24227160841684,0.2075882032301433
38,11.240707572247413,0.20756105255481538
39,11.239138888966817,0.20753319900336095
40,11.237565700150933,0.20750413419813254
41,11.23598925652667,0.20747391287976616
42,11.234410163305402,0.20744364685429073
43,11.232826924931313,0.20741147067236487
44,11.23123948038075,0.20737805455302952
45,11.229648211285621,0.20734370817843564
46,11.228053105303054,0.20730839134998494
47,11.226454517543203,0.20727222034014892
48,11.224852789655944,0.2072352690285244
49,11.223247985233645,0.20719699034201314
