idx,loop,psnr,ssim
0,0,25.133081914826295,0.40231341685973004
0,1,25.135151924952503,0.405112921953106
0,2,25.16243317095463,0.411046578624319
0,3,25.21133561300193,0.4180717170960553
0,4,25.295041249884555,0.4206823331774004
0,5,25.342192212065665,0.42314446459109534
0,6,25.406428260407186,0.425022289543179
0,7,25.413241485156732,0.42655265312169804
0,8,25.54822306081649,0.4258023567934599
0,9,25.647940853143393,0.42483737829709795
0,10,25.730697453437696,0.42311998666131617
0,11,25.77683230111421,0.42231626720310483
0,12,25.820291947271055,0.4197468046255857
0,13,25.837297945271143,0.41838501879740564
0,14,25.84116459232049,0.4171478654193806
0,15,25.830057333812558,0.41700434830386945
0,16,25.794867910655796,0.41836483638705313
0,17,25.73062884957919,0.41969020103052873
0,18,25.653748569828,0.4200945150820327
0,19,25.573602061507632,0.4189109165880864
0,20,25.47630577185299,0.41666481303564096
